Ziad Aboultaif,Conservateur,Edmonton Manning,Alberta
Scott Aitchison,Conservateur,Parry Sound—Muskoka,Ontario
Dan Albas,Conservateur,Central Okanagan—Similkameen—Nicola,Colombie-Britannique
L’honorable,Omar Alghabra,Libéral,Mississauga-Centre,Ontario
Leona Alleslev,Conservateur,Aurora—Oak Ridges—Richmond Hill,Ontario
Dean Allison,Conservateur,Niagara-Ouest,Ontario
William Amos,Libéral,Pontiac,Québec
L’honorable,Anita Anand,Libéral,Oakville,Ontario
Gary Anandasangaree,Libéral,Scarborough—Rouge Park,Ontario
Charlie Angus,NPD,Timmins—Baie James,Ontario
Mel Arnold,Conservateur,North Okanagan—Shuswap,Colombie-Britannique
René Arseneault,Libéral,Madawaska—Restigouche,Nouveau-Brunswick
Chandra Arya,Libéral,Nepean,Ontario
Niki Ashton,NPD,Churchill—Keewatinook Aski,Manitoba
Jenica Atwin,Parti vert,Fredericton,Nouveau-Brunswick
Taylor Bachrach,NPD,Skeena—Bulkley Valley,Colombie-Britannique
Vance Badawey,Libéral,Niagara-Centre,Ontario
L'honorable,Larry Bagnell,Libéral,Yukon,Yukon
L'honorable,Navdeep Bains,Libéral,Mississauga—Malton,Ontario
Yvan Baker,Libéral,Etobicoke-Centre,Ontario
Tony Baldinelli,Conservateur,Niagara Falls,Ontario
John Barlow,Conservateur,Foothills,Alberta
Michael Barrett,Conservateur,Leeds—Grenville—Thousand Islands et Rideau Lakes,Ontario
Xavier Barsalou-Duval,Bloc Québécois,Pierre-Boucher—Les Patriotes—Verchères,Québec
Jaime Battiste,Libéral,Sydney—Victoria,Nouvelle-Écosse
Mario Beaulieu,Bloc Québécois,La Pointe-de-l'Île,Québec
Terry Beech,Libéral,Burnaby-Nord—Seymour,Colombie-Britannique
Rachel Bendayan,Libéral,Outremont,Québec
L'honorable,Carolyn Bennett,Libéral,Toronto—St. Paul's,Ontario
Bob Benzen,Conservateur,Calgary Heritage,Alberta
L’honorable,Candice Bergen,Conservateur,Portage—Lisgar,Manitoba
Stéphane Bergeron,Bloc Québécois,Montarville,Québec
Luc Berthold,Conservateur,Mégantic—L'Érable,Québec
Sylvie Bérubé,Bloc Québécois,Abitibi—Baie-James—Nunavik—Eeyou,Québec
Lyne Bessette,Libéral,Brome—Missisquoi,Québec
James Bezan,Conservateur,Selkirk—Interlake—Eastman,Manitoba
L’honorable,Marie-Claude Bibeau,Libéral,Compton—Stanstead,Québec
Chris Bittle,Libéral,St. Catharines,Ontario
Daniel Blaikie,NPD,Elmwood—Transcona,Manitoba
L’honorable,Bill Blair,Libéral,Scarborough-Sud-Ouest,Ontario
Yves-François Blanchet,Bloc Québécois,Beloeil—Chambly,Québec
Maxime Blanchette-Joncas,Bloc Québécois,Rimouski-Neigette—Témiscouata—Les Basques,Québec
Rachel Blaney,NPD,North Island—Powell River,Colombie-Britannique
L'honorable,Steven Blaney,Conservateur,Bellechasse—Les Etchemins—Lévis,Québec
Kelly Block,Conservateur,Sentier Carlton—Eagle Creek,Saskatchewan
Kody Blois,Libéral,Kings—Hants,Nouvelle-Écosse
Michel Boudrias,Bloc Québécois,Terrebonne,Québec
Alexandre Boulerice,NPD,Rosemont—La Petite-Patrie,Québec
Richard Bragdon,Conservateur,Tobique—Mactaquac,Nouveau-Brunswick
John Brassard,Conservateur,Barrie—Innisfil,Ontario
Bob Bratina,Libéral,Hamilton-Est—Stoney Creek,Ontario
Élisabeth Brière,Libéral,Sherbrooke,Québec
Alexis Brunelle-Duceppe,Bloc Québécois,Lac-Saint-Jean,Québec
Blaine Calkins,Conservateur,Red Deer—Lacombe,Alberta
Richard Cannings,NPD,Okanagan-Sud—Kootenay-Ouest,Colombie-Britannique
L’honorable,Jim Carr,Libéral,Winnipeg-Centre-Sud,Manitoba
Colin Carrie,Conservateur,Oshawa,Ontario
Sean Casey,Libéral,Charlottetown,Île-du-Prince-Édouard
Louise Chabot,Bloc Québécois,Thérèse-De Blainville,Québec
L’honorable,Bardish Chagger,Libéral,Waterloo,Ontario
L'honorable,François-Philippe Champagne,Libéral,Saint-Maurice—Champlain,Québec
Martin Champoux,Bloc Québécois,Drummond,Québec
Louise Charbonneau,Bloc Québécois,Trois-Rivières,Québec
Shaun Chen,Libéral,Scarborough-Nord,Ontario
Kenny Chiu,Conservateur,Steveston—Richmond-Est,Colombie-Britannique
L'honorable,Michael D. Chong,Conservateur,Wellington—Halton Hills,Ontario
Laurel Collins,NPD,Victoria,Colombie-Britannique
Michael Cooper,Conservateur,St. Albert—Edmonton,Alberta
Serge Cormier,Libéral,Acadie—Bathurst,Nouveau-Brunswick
James Cumming,Conservateur,Edmonton-Centre,Alberta
Julie Dabrusin,Libéral,Toronto—Danforth,Ontario
Marc Dalton,Conservateur,Pitt Meadows—Maple Ridge,Colombie-Britannique
Pam Damoff,Libéral,Oakville-Nord—Burlington,Ontario
Raquel Dancho,Conservateur,Kildonan—St. Paul,Manitoba
Scot Davidson,Conservateur,York—Simcoe,Ontario
Don Davies,NPD,Vancouver Kingsway,Colombie-Britannique
Claude DeBellefeuille,Bloc Québécois,Salaberry—Suroît,Québec
Gérard Deltell,Conservateur,Louis-Saint-Laurent,Québec
Chris d'Entremont,Conservateur,Nova-Ouest,Nouvelle-Écosse
Caroline Desbiens,Bloc Québécois,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Québec
Luc Desilets,Bloc Québécois,Rivière-des-Mille-Îles,Québec
Sukh Dhaliwal,Libéral,Surrey—Newton,Colombie-Britannique
Anju Dhillon,Libéral,Dorval—Lachine—LaSalle,Québec
Kerry Diotte,Conservateur,Edmonton Griesbach,Alberta
Todd Doherty,Conservateur,Cariboo—Prince George,Colombie-Britannique
Han Dong,Libéral,Don Valley-Nord,Ontario
Terry Dowdall,Conservateur,Simcoe—Grey,Ontario
Earl Dreeshen,Conservateur,Red Deer—Mountain View,Alberta
Francis Drouin,Libéral,Glengarry—Prescott—Russell,Ontario
Emmanuel Dubourg,Libéral,Bourassa,Québec
L’honorable,Jean-Yves Duclos,Libéral,Québec,Québec
Terry Duguid,Libéral,Winnipeg-Sud,Manitoba
Eric Duncan,Conservateur,Stormont—Dundas—South Glengarry,Ontario
L’honorable,Kirsty Duncan,Libéral,Etobicoke-Nord,Ontario
Scott Duvall,NPD,Hamilton Mountain,Ontario
Julie Dzerowicz,Libéral,Davenport,Ontario
L'honorable,Wayne Easter,Libéral,Malpeque,Île-du-Prince-Édouard
Ali Ehsassi,Libéral,Willowdale,Ontario
Fayçal El-Khoury,Libéral,Laval—Les Îles,Québec
Neil R. Ellis,Libéral,Baie de Quinte,Ontario
Dave Epp,Conservateur,Chatham-Kent—Leamington,Ontario
Nathaniel Erskine-Smith,Libéral,Beaches—East York,Ontario
Rosemarie Falk,Conservateur,Battlefords—Lloydminster,Saskatchewan
Ted Falk,Conservateur,Provencher,Manitoba
L'honorable,Ed Fast,Conservateur,Abbotsford,Colombie-Britannique
Greg Fergus,Libéral,Hull—Aylmer,Québec
Andy Fillmore,Libéral,Halifax,Nouvelle-Écosse
L'honorable,Kerry-Lynne D. Findlay,Conservateur,Surrey-Sud—White Rock,Colombie-Britannique
L'honorable,Diane Finley,Conservateur,Haldimand—Norfolk,Ontario
Pat Finnigan,Libéral,Miramichi—Grand Lake,Nouveau-Brunswick
Darren Fisher,Libéral,Dartmouth—Cole Harbour,Nouvelle-Écosse
Peter Fonseca,Libéral,Mississauga-Est—Cooksville,Ontario
L’honorable,Mona Fortier,Libéral,Ottawa—Vanier,Ontario
Rhéal Éloi Fortin,Bloc Québécois,Rivière-du-Nord,Québec
Peter Fragiskatos,Libéral,London-Centre-Nord,Ontario
Sean Fraser,Libéral,Nova-Centre,Nouvelle-Écosse
L’honorable,Chrystia Freeland,Libéral,University—Rosedale,Ontario
L'honorable,Hedy Fry,Libéral,Vancouver-Centre,Colombie-Britannique
Cheryl Gallant,Conservateur,Renfrew—Nipissing—Pembroke,Ontario
L’honorable,Marc Garneau,Libéral,Notre-Dame-de-Grâce—Westmount,Québec
Randall Garrison,NPD,Esquimalt—Saanich—Sooke,Colombie-Britannique
Marie-Hélène Gaudreau,Bloc Québécois,Laurentides—Labelle,Québec
Leah Gazan,NPD,Winnipeg-Centre,Manitoba
Bernard Généreux,Conservateur,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Québec
Garnett Genuis,Conservateur,Sherwood Park—Fort Saskatchewan,Alberta
Mark Gerretsen,Libéral,Kingston et les Îles,Ontario
Marilène Gill,Bloc Québécois,Manicouagan,Québec
Marilyn Gladu,Conservateur,Sarnia—Lambton,Ontario
Joël Godin,Conservateur,Portneuf—Jacques-Cartier,Québec
L'honorable,Karina Gould,Libéral,Burlington,Ontario
Jacques Gourde,Conservateur,Lévis—Lotbinière,Québec
Tracy Gray,Conservateur,Kelowna—Lake Country,Colombie-Britannique
Matthew Green,NPD,Hamilton-Centre,Ontario
L’honorable,Steven Guilbeault,Libéral,Laurier—Sainte-Marie,Québec
L’honorable,Patty Hajdu,Libéral,Thunder Bay—Supérieur-Nord,Ontario
Jasraj Singh Hallan,Conservateur,Calgary Forest Lawn,Alberta
Rachael Harder,Conservateur,Lethbridge,Alberta
Ken Hardie,Libéral,Fleetwood—Port Kells,Colombie-Britannique
Jack Harris,NPD,St. John's-Est,Terre-Neuve-et-Labrador
Randy Hoback,Conservateur,Prince Albert,Saskatchewan
L’honorable,Mark Holland,Libéral,Ajax,Ontario
Anthony Housefather,Libéral,Mont-Royal,Québec
Carol Hughes,NPD,Algoma—Manitoulin—Kapuskasing,Ontario
L'honorable,Ahmed Hussen,Libéral,York-Sud—Weston,Ontario
Gudie Hutchings,Libéral,Long Range Mountains,Terre-Neuve-et-Labrador
Angelo Iacono,Libéral,Alfred-Pellan,Québec
Helena Jaczek,Libéral,Markham—Stouffville,Ontario
Tamara Jansen,Conservateur,Cloverdale—Langley City,Colombie-Britannique
Matt Jeneroux,Conservateur,Edmonton Riverbend,Alberta
Gord Johns,NPD,Courtenay—Alberni,Colombie-Britannique
L’honorable,Mélanie Joly,Libéral,Ahuntsic-Cartierville,Québec
Yvonne Jones,Libéral,Labrador,Terre-Neuve-et-Labrador
L’honorable,Bernadette Jordan,Libéral,South Shore—St. Margarets,Nouvelle-Écosse
Majid Jowhari,Libéral,Richmond Hill,Ontario
Peter Julian,NPD,New Westminster—Burnaby,Colombie-Britannique
Mike Kelloway,Libéral,Cape Breton—Canso,Nouvelle-Écosse
Pat Kelly,Conservateur,Calgary Rocky Ridge,Alberta
L'honorable,Peter Kent,Conservateur,Thornhill,Ontario
Iqra Khalid,Libéral,Mississauga—Erin Mills,Ontario
Kamal Khera,Libéral,Brampton-Ouest,Ontario
Robert Kitchen,Conservateur,Souris—Moose Mountain,Saskatchewan
Tom Kmiec,Conservateur,Calgary Shepard,Alberta
Annie Koutrakis,Libéral,Vimy,Québec
Michael Kram,Conservateur,Regina—Wascana,Saskatchewan
Damien C. Kurek,Conservateur,Battle River—Crowfoot,Alberta
Stephanie Kusie,Conservateur,Calgary Midnapore,Alberta
Irek Kusmierczyk,Libéral,Windsor—Tecumseh,Ontario
Jenny Kwan,NPD,Vancouver-Est,Colombie-Britannique
L'honorable,Mike Lake,Conservateur,Edmonton—Wetaskiwin,Alberta
Marie-France Lalonde,Libéral,Orléans,Ontario
Emmanuella Lambropoulos,Libéral,Saint-Laurent,Québec
L’honorable,David Lametti,Libéral,LaSalle—Émard—Verdun,Québec
Kevin Lamoureux,Libéral,Winnipeg-Nord,Manitoba
Andréanne Larouche,Bloc Québécois,Shefford,Québec
Patricia Lattanzio,Libéral,Saint-Léonard—Saint-Michel,Québec
Stéphane Lauzon,Libéral,Argenteuil—La Petite-Nation,Québec
Philip Lawrence,Conservateur,Northumberland—Peterborough-Sud,Ontario
L'honorable,Dominic LeBlanc,Libéral,Beauséjour,Nouveau-Brunswick
L’honorable,Diane Lebouthillier,Libéral,Gaspésie—Les Îles-de-la-Madeleine,Québec
Paul Lefebvre,Libéral,Sudbury,Ontario
Richard Lehoux,Conservateur,Beauce,Québec
Sébastien Lemire,Bloc Québécois,Abitibi—Témiscamingue,Québec
Michael Levitt,Libéral,York-Centre,Ontario
Chris Lewis,Conservateur,Essex,Ontario
Ron Liepert,Conservateur,Calgary Signal Hill,Alberta
Joël Lightbound,Libéral,Louis-Hébert,Québec
Dane Lloyd,Conservateur,Sturgeon River—Parkland,Alberta
Ben Lobb,Conservateur,Huron—Bruce,Ontario
Wayne Long,Libéral,Saint John—Rothesay,Nouveau-Brunswick
Lloyd Longfield,Libéral,Guelph,Ontario
Tim Louis,Libéral,Kitchener—Conestoga,Ontario
Tom Lukiwski,Conservateur,Moose Jaw—Lake Centre—Lanigan,Saskatchewan
L'honorable,Lawrence MacAulay,Libéral,Cardigan,Île-du-Prince-Édouard
Alistair MacGregor,NPD,Cowichan—Malahat—Langford,Colombie-Britannique
Dave MacKenzie,Conservateur,Oxford,Ontario
Steven MacKinnon,Libéral,Gatineau,Québec
Larry Maguire,Conservateur,Brandon—Souris,Manitoba
James Maloney,Libéral,Etobicoke—Lakeshore,Ontario
Paul Manly,Parti vert,Nanaimo—Ladysmith,Colombie-Britannique
Simon Marcil,Bloc Québécois,Mirabel,Québec
Richard Martel,Conservateur,Chicoutimi—Le Fjord,Québec
Soraya Martinez Ferrada,Libéral,Hochelaga,Québec
Brian Masse,NPD,Windsor-Ouest,Ontario
Lindsay Mathyssen,NPD,London—Fanshawe,Ontario
Bryan May,Libéral,Cambridge,Ontario
Elizabeth May,Parti vert,Saanich—Gulf Islands,Colombie-Britannique
Dan Mazier,Conservateur,Dauphin—Swan River—Neepawa,Manitoba
Kelly McCauley,Conservateur,Edmonton-Ouest,Alberta
Phil McColeman,Conservateur,Brantford—Brant,Ontario
Karen McCrimmon,Libéral,Kanata—Carleton,Ontario
Ken McDonald,Libéral,Avalon,Terre-Neuve-et-Labrador
L’honorable,David J. McGuinty,Libéral,Ottawa-Sud,Ontario
L'honorable,John McKay,Libéral,Scarborough—Guildwood,Ontario
L’honorable,Catherine McKenna,Libéral,Ottawa-Centre,Ontario
Ron McKinnon,Libéral,Coquitlam—Port Coquitlam,Colombie-Britannique
Greg McLean,Conservateur,Calgary-Centre,Alberta
Cathy McLeod,Conservateur,Kamloops—Thompson—Cariboo,Colombie-Britannique
Michael V. McLeod,Libéral,Territoires du Nord-Ouest,Territoires du Nord-Ouest
Heather McPherson,NPD,Edmonton Strathcona,Alberta
Eric Melillo,Conservateur,Kenora,Ontario
Alexandra Mendès,Libéral,Brossard—Saint-Lambert,Québec
L’honorable,Marco Mendicino,Libéral,Eglinton—Lawrence,Ontario
Kristina Michaud,Bloc Québécois,Avignon—La Mitis—Matane—Matapédia,Québec
L’honorable,Marc Miller,Libéral,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Québec
L’honorable,Maryam Monsef,Libéral,Peterborough—Kawartha,Ontario
L'honorable,Rob Moore,Conservateur,Fundy Royal,Nouveau-Brunswick
Marty Morantz,Conservateur,Charleswood—St. James—Assiniboia—Headingley,Manitoba
L’honorable,Bill Morneau,Libéral,Toronto-Centre,Ontario
Rob Morrison,Conservateur,Kootenay—Columbia,Colombie-Britannique
Robert J. Morrissey,Libéral,Egmont,Île-du-Prince-Édouard
Glen Motz,Conservateur,Medicine Hat—Cardston—Warner,Alberta
L’honorable,Joyce Murray,Libéral,Vancouver Quadra,Colombie-Britannique
John Nater,Conservateur,Perth—Wellington,Ontario
L’honorable,Mary Ng,Libéral,Markham—Thornhill,Ontario
Christine Normandin,Bloc Québécois,Saint-Jean,Québec
Jennifer O'Connell,Libéral,Pickering—Uxbridge,Ontario
Robert Oliphant,Libéral,Don Valley-Ouest,Ontario
L'honorable,Seamus O'Regan,Libéral,St. John's-Sud—Mount Pearl,Terre-Neuve-et-Labrador
L’honorable,Erin O'Toole,Conservateur,Durham,Ontario
Jeremy Patzer,Conservateur,Cypress Hills—Grasslands,Saskatchewan
Pierre Paul-Hus,Conservateur,Charlesbourg—Haute-Saint-Charles,Québec
Monique Pauzé,Bloc Québécois,Repentigny,Québec
Yves Perron,Bloc Québécois,Berthier—Maskinongé,Québec
L’honorable,Ginette Petitpas Taylor,Libéral,Moncton—Riverview—Dieppe,Nouveau-Brunswick
Louis Plamondon,Bloc Québécois,Bécancour—Nicolet—Saurel,Québec
L’honorable,Pierre Poilievre,Conservateur,Carleton,Ontario
Marcus Powlowski,Libéral,Thunder Bay—Rainy River,Ontario
Mumilaaq Qaqqaq,NPD,Nunavut,Nunavut
L’honorable,Carla Qualtrough,Libéral,Delta,Colombie-Britannique
Yasmin Ratansi,Libéral,Don Valley-Est,Ontario
Alain Rayes,Conservateur,Richmond—Arthabaska,Québec
Brad Redekopp,Conservateur,Saskatoon-Ouest,Saskatchewan
L'honorable,Geoff Regan,Libéral,Halifax-Ouest,Nouvelle-Écosse
Scott Reid,Conservateur,Lanark—Frontenac—Kingston,Ontario
L’honorable,Michelle Rempel Garner,Conservateur,Calgary Nose Hill,Alberta
Blake Richards,Conservateur,Banff—Airdrie,Alberta
Yves Robillard,Libéral,Marc-Aurèle-Fortin,Québec
L’honorable,Pablo Rodriguez,Libéral,Honoré-Mercier,Québec
Churence Rogers,Libéral,Bonavista—Burin—Trinity,Terre-Neuve-et-Labrador
Sherry Romanado,Libéral,Longueuil—Charles-LeMoyne,Québec
Lianne Rood,Conservateur,Lambton—Kent—Middlesex,Ontario
L’honorable,Anthony Rota,Libéral,Nipissing—Timiskaming,Ontario
Alex Ruff,Conservateur,Bruce—Grey—Owen Sound,Ontario
Jag Sahota,Conservateur,Calgary Skyview,Alberta
Ruby Sahota,Libéral,Brampton-Nord,Ontario
Raj Saini,Libéral,Kitchener-Centre,Ontario
L’honorable,Harjit S. Sajjan,Libéral,Vancouver-Sud,Colombie-Britannique
Darrell Samson,Libéral,Sackville—Preston—Chezzetcook,Nouvelle-Écosse
Ramesh Sangha,Libéral,Brampton-Centre,Ontario
Randeep Sarai,Libéral,Surrey-Centre,Colombie-Britannique
Bob Saroya,Conservateur,Markham—Unionville,Ontario
Simon-Pierre Savard-Tremblay,Bloc Québécois,Saint-Hyacinthe—Bagot,Québec
Francis Scarpaleggia,Libéral,Lac-Saint-Louis,Québec
L'honorable,Andrew Scheer,Conservateur,Regina—Qu'Appelle,Saskatchewan
Peter Schiefke,Libéral,Vaudreuil—Soulanges,Québec
Jamie Schmale,Conservateur,Haliburton—Kawartha Lakes—Brock,Ontario
L’honorable,Deb Schulte,Libéral,King—Vaughan,Ontario
Kyle Seeback,Conservateur,Dufferin—Caledon,Ontario
Marc G. Serré,Libéral,Nickel Belt,Ontario
L'honorable,Judy A. Sgro,Libéral,Humber River—Black Creek,Ontario
Brenda Shanahan,Libéral,Châteauguay—Lacolle,Québec
Terry Sheehan,Libéral,Sault Ste. Marie,Ontario
Martin Shields,Conservateur,Bow River,Alberta
Nelly Shin,Conservateur,Port Moody—Coquitlam,Colombie-Britannique
Doug Shipley,Conservateur,Barrie—Springwater—Oro-Medonte,Ontario
Maninder Sidhu,Libéral,Brampton-Est,Ontario
Sonia Sidhu,Libéral,Brampton-Sud,Ontario
Gagan Sikand,Libéral,Mississauga—Streetsville,Ontario
Mario Simard,Bloc Québécois,Jonquière,Québec
Scott Simms,Libéral,Coast of Bays—Central—Notre Dame,Terre-Neuve-et-Labrador
Jagmeet Singh,NPD,Burnaby-Sud,Colombie-Britannique
Derek Sloan,Conservateur,Hastings—Lennox and Addington,Ontario
Francesco Sorbara,Libéral,Vaughan—Woodbridge,Ontario
Gerald Soroka,Conservateur,Yellowhead,Alberta
Sven Spengemann,Libéral,Mississauga—Lakeshore,Ontario
Bruce Stanton,Conservateur,Simcoe-Nord,Ontario
Warren Steinley,Conservateur,Regina—Lewvan,Saskatchewan
Gabriel Ste-Marie,Bloc Québécois,Joliette,Québec
Mark Strahl,Conservateur,Chilliwack—Hope,Colombie-Britannique
Shannon Stubbs,Conservateur,Lakeland,Alberta
David Sweet,Conservateur,Flamborough—Glanbrook,Ontario
Marwan Tabbara,Libéral,Kitchener-Sud—Hespeler,Ontario
L’honorable,Filomena Tassi,Libéral,Hamilton-Ouest—Ancaster—Dundas,Ontario
Luc Thériault,Bloc Québécois,Montcalm,Québec
Alain Therrien,Bloc Québécois,La Prairie,Québec
Corey Tochor,Conservateur,Saskatoon—University,Saskatchewan
Le très honorable,Justin Trudeau,Libéral,Papineau,Québec
Denis Trudel,Bloc Québécois,Longueuil—Saint-Hubert,Québec
Ryan Turnbull,Libéral,Whitby,Ontario
L'honorable,Tim Uppal,Conservateur,Edmonton Mill Woods,Alberta
Tony Van Bynen,Libéral,Newmarket—Aurora,Ontario
Adam van Koeverden,Libéral,Milton,Ontario
Tako Van Popta,Conservateur,Langley—Aldergrove,Colombie-Britannique
L’honorable,Dan Vandal,Libéral,Saint-Boniface—Saint-Vital,Manitoba
Anita Vandenbeld,Libéral,Ottawa-Ouest—Nepean,Ontario
Adam Vaughan,Libéral,Spadina—Fort York,Ontario
Karen Vecchio,Conservateur,Elgin—Middlesex—London,Ontario
Gary Vidal,Conservateur,Desnethé—Missinippi—Rivière Churchill,Saskatchewan
Arnold Viersen,Conservateur,Peace River—Westlock,Alberta
Julie Vignola,Bloc Québécois,Beauport—Limoilou,Québec
Arif Virani,Libéral,Parkdale—High Park,Ontario
Brad Vis,Conservateur,Mission—Matsqui—Fraser Canyon,Colombie-Britannique
Cathay Wagantall,Conservateur,Yorkton—Melville,Saskatchewan
Chris Warkentin,Conservateur,Grande Prairie—Mackenzie,Alberta
Kevin Waugh,Conservateur,Saskatoon—Grasswood,Saskatchewan
Len Webber,Conservateur,Calgary Confederation,Alberta
Patrick Weiler,Libéral,West Vancouver—Sunshine Coast—Sea to Sky Country,Colombie-Britannique
L’honorable,Jonathan Wilkinson,Libéral,North Vancouver,Colombie-Britannique
John Williamson,Conservateur,Nouveau-Brunswick-Sud-Ouest,Nouveau-Brunswick
L’honorable,Jody Wilson-Raybould,Indépendant,Vancouver Granville,Colombie-Britannique
L'honorable,Alice Wong,Conservateur,Richmond-Centre,Colombie-Britannique
Jean Yip,Libéral,Scarborough—Agincourt,Ontario
Kate Young,Libéral,London-Ouest,Ontario
David Yurdiga,Conservateur,Fort McMurray—Cold Lake,Alberta
Salma Zahid,Libéral,Scarborough-Centre,Ontario
Lenore Zann,Libéral,Cumberland—Colchester,Nouvelle-Écosse
Bob Zimmer,Conservateur,Prince George—Peace River—Northern Rockies,Colombie-Britannique
Sameer Zuberi,Libéral,Pierrefonds—Dollard,Québec
